description,url,Model,Year,Volume,Run,Price
"Honda Jazz 1.3 Бензин, Автомат, Нов .ТО. 
Авто в хорошем техническом и визу",https://www.ss.com/msg/en/transport/cars/honda/jazz/ifcol.html,Jazz,2004,1.3,233 thd.,"1,550  €"
"Pārdodu Honda Cr-V, 1, 6 dīzelis, Awd, automāts, klimata kontrole, kruīza ko",https://www.ss.com/msg/en/transport/cars/honda/cr-v/cdolxg.html,Cr-v,2016,1.6D,225 thd.,"11,500  €"
"No Itālijas Honda Cr-V 2.2D 110kW Automāts 4x4

Bez rūsas pazīmēm. Oriģinā",https://www.ss.com/msg/en/transport/cars/honda/cr-v/cflcol.html,Cr-v,2011,2.2D,-,"7,490  €"
Honda Cr-V Plug-in hibrīds ar nelielu nobraukumu - pilnākā komplektācija.,https://www.ss.com/msg/en/transport/cars/honda/cr-v/exgmk.html,Cr-v,2025,2.0H,15 thd.,"44,900  €"
"Pārdodu Honda Insight 1.3 Hybrid, 2011. gads. 
Auto ir kopts un ekonomisks,",https://www.ss.com/msg/en/transport/cars/honda/insight/cfogol.html,Insight,2011,1.3H,421 thd.,"2,050  €"
"Honda Prelude 2.2 Vtec 1997 4Ws Tein Coilovers
Japāņu kupeja no 90-to gadu",https://www.ss.com/msg/en/transport/cars/honda/prelude/fgjhj.html,Prelude,1997,2.2,260 thd.,"4,500 €"
"Honda Cr-v (2011.g) Balta met. ""Pērle""

Nepieciešamības gadījumā ir iespēj",https://www.ss.com/msg/en/transport/cars/honda/cr-v/akkoi.html,Cr-v,2011,2.2D,203 thd.,"7,500  €"
"Honda Cr-V 2.0i Executive, 2008, автомат, 4x4

Продаю Honda Cr-V 2.0 бензи",https://www.ss.com/msg/en/transport/cars/honda/cr-v/akknd.html,Cr-v,2008,2.0,171 thd.,"5,700  €"
"Pārdodu Honda Civic, kura savā dzīvē jau daudz ko ir piedzīvojusi, bet jopro",https://www.ss.com/msg/en/transport/cars/honda/civic/njpkc.html,Civic,2007,1.3,165 thd.,"1,300  €"
Pārdod auto. Viens saimnieks,https://www.ss.com/msg/en/transport/cars/honda/cr-v/fnpcc.html,Cr-v,2007,2.0,158 thd.,"6,000 €"
"Honda Crv
23.12.2013 Alcantara
 Automātiska priekšējo lukturu kontrole / g",https://www.ss.com/msg/en/transport/cars/honda/cr-v/djpog.html,Cr-v,2013,1.6D,274 thd.,"12,470  €"
"Продается Honda accord, 2015года, машина покупалась новая в Латвии, обслужив",https://www.ss.com/msg/en/transport/cars/honda/accord/dibon.html,Accord,2015,2.0,160 thd.,"8,600  €"
"Pārdod uzņēmuma lietotu Honda Cr-V 2.0 benzīns, manuālā ātrumkārba, pirmā re",https://www.ss.com/msg/en/transport/cars/honda/cr-v/fcfcb.html,Cr-v,2015,2.0,210 thd.,"9,300  €"
"Tiek pārdota Honda Accord 2.2 dīzelis. Ekonomisks, ērts un uzticams auto ikd",https://www.ss.com/msg/en/transport/cars/honda/accord/eofdo.html,Accord,2005,2.2D,313 thd.,"1,700  €"
"Pārdodas Honda civic 2006gada, 1, 8benzina dzinējs 103kw vtech 6atrumu manua",https://www.ss.com/msg/en/transport/cars/honda/civic/eobdj.html,Civic,2006,1.8,266 thd.,"1,800 €"
"Honda Jazz 1.3 MT, 61kW (83 л. с. ), хетчбэк, передний, 2006, 252 000 км
,",https://www.ss.com/msg/en/transport/cars/honda/jazz/blehcg.html,Jazz,2006,1.3,252 thd.,"1,200  €"
"Auto kārtīgam saimniekam ar visu svarīgo - 4x4, āķi un dīzeli. Tehniski labā",https://www.ss.com/msg/en/transport/cars/honda/cr-v/aoedb.html,Cr-v,2008,2.0D,368 thd.,"3,777  €"
"Продается Honda-Crv, 2014 год. Мех. коробка передач. Двигатель 1.6, 88кВт. К",https://www.ss.com/msg/en/transport/cars/honda/cr-v/epxce.html,Cr-v,2014,1.6D,196 thd.,"8,100  €"
"2014.gada skaista, ļoti izturīga un neticami ekonomiska Hondiņa par saprātīg",https://www.ss.com/msg/en/transport/cars/honda/civic/bkhpx.html,Civic,2014,1.6D,200 thd.,"5,600  €"
"Pārdodu Honda Cr-V, 2006. gada, ar manuālo pārnesumkārbu un pilnpiedziņu (4x",https://www.ss.com/msg/en/transport/cars/honda/cr-v/fgphl.html,Cr-v,2006,2.0,228 thd.,"1,850 €"
Pārdodu Honda Civic labā tehniskā un vizuālā stāvoklī. Ir daži nelieli vizuā,https://www.ss.com/msg/en/transport/cars/honda/civic/egmpm.html,Civic,2011,2.2D,233 thd.,"3,100  €"
За машиной следили и обслуживали во время не ждали пока что ни будь сломаетс,https://www.ss.com/msg/en/transport/cars/honda/cr-v/cdmjnh.html,Cr-v,2013,2.2D,263 thd.,"10,500  €"
"Honda civic Sport-Aero Pakete
Tikko ievests no Francija
Bez rūsas
Atgāžu",https://www.ss.com/msg/en/transport/cars/honda/civic/bibof.html,Civic,2016,1.6D,200 thd.,"8,700  €"
Honda Cr-V 4x4 2008.g. 2.2d 103 kW dīzeļa dzinējs ar 6 ātrumu manuālo ātrumk,https://www.ss.com/msg/en/transport/cars/honda/cr-v/gcnpi.html,Cr-v,2008,2.2D,395 thd.,"1,500  €"
"Honda crv
talsi",https://www.ss.com/msg/en/transport/cars/honda/cr-v/gkhid.html,Cr-v,2007,2.2D,-,"4,470  €"
"В отличном состоянии, своевременное обслуживание, диски (r19), недавно замен",https://www.ss.com/msg/en/transport/cars/honda/cr-v/ceckpx.html,Cr-v,2016,1.6D,193 thd.,"13,700  €"
"Pārdošanā nonakusi sarkana raķete Honda civic 1.8i . TA uz gadu, nesen iziet",https://www.ss.com/msg/en/transport/cars/honda/civic/bkfic.html,Civic,2008,1.8,319 thd.,"1,880  €"
"Rudens nāk klusu un neatlaidīgi. Rīti kļūst dzestrāki, bērzu lapas dzeltenāk",https://www.ss.com/msg/en/transport/cars/honda/cr-v/aixeg.html,Cr-v,2004,2.0,153 thd.,"2,900  €"
"Продаю свою Honda Cr-V 2008 года. 

2.0 бензин + газ, 100 кВт, полный прив",https://www.ss.com/msg/en/transport/cars/honda/cr-v/ceixlb.html,Cr-v,2008,2.0,264 thd.,"5,999 €"
"Honda Cr-V
2.2 Dīzelis/110kw/
Nobraukums: 283929
Pirma reģistrācija: 28.0",https://www.ss.com/msg/en/transport/cars/honda/cr-v/cecihm.html,Cr-v,2012,2.2D,-,"7,850  €"
"Cr-V, 2.2 dīzelis, 2007.g. , 103kW

6 Pakāpju manuālā pārnesumkārba, pilnp",https://www.ss.com/msg/en/transport/cars/honda/cr-v/hxfjn.html,Cr-v,2007,2.2D,253 thd.,"3,700  €"
"Honda Accord ""Facelift"", 2.0 114Kw vai 155 ZS labakajs un drosakajs benzina",https://www.ss.com/msg/en/transport/cars/honda/accord/giepk.html,Accord,2007,2.0,395 thd.,"2,000 €"
"Honda Cr-V
2.2Dīzelis/103kw/
Nobraukums:263117
Pirma reģistrācija: 07.08.",https://www.ss.com/msg/en/transport/cars/honda/cr-v/gpmno.html,Cr-v,2007,2.2D,-,"4,950  €"
"Honda Civic No Francijas Latvijā nav lietota. 

Dzinēja tilpums: 2.2 Tdi",https://www.ss.com/msg/en/transport/cars/honda/civic/dhxml.html,Civic,2007,2.2D,287 thd.,"3,700  €"
"Новый Т. О. 2.2d 103kw, климат-контроль, кондиционер-работает, чёрный кожаны",https://www.ss.com/msg/en/transport/cars/honda/cr-v/cdonep.html,Cr-v,2006,2.2D,315 thd.,"3,500  €"
"Palīdzu pārdod, Honda Civic 2007. gada labā tehniska stāvoklī ar nelieliem v",https://www.ss.com/msg/en/transport/cars/honda/civic/cckjl.html,Civic,2007,1.8,244 thd.,"1,300  €"
Tikko no Francijas. Viens saimnieks Francijā. Honda Cr-V 2.2 I-I-Dtec 110 KW,https://www.ss.com/msg/en/transport/cars/honda/cr-v/bkpono.html,Cr-v,2012,2.2D,240 thd.,"10,490  €"
"Sakarā ar jauna auto iegādi, pārdodu savu Honda Cr-V. 
Ļoti praktisks, ietil",https://www.ss.com/msg/en/transport/cars/honda/cr-v/gjjec.html,Cr-v,2006,2.2D,292 thd.,"2,750 €"
"Tehniskā apskate derīga līdz 28.09.2026.
Atkārtotai TA nepieciešami metināš",https://www.ss.com/msg/en/transport/cars/honda/civic/cpxbk.html,Civic,2008,1.8,222 thd.,"1,290  €"
Automāts. Honda Civic 1.8 benzīns/gāze-103Kw. Pirkta Jauna Latvijā pie ofici,https://www.ss.com/msg/en/transport/cars/honda/civic/cfhof.html,Civic,2009,1.8,274 thd.,"3,250  €"
"Pārdodu Honda Cr-V 2011.gada 2, 2 dīzelis 110 kw motors, ļoti labā tehniskā",https://www.ss.com/msg/en/transport/cars/honda/cr-v/bjpcn.html,Cr-v,2011,2.2D,218 thd.,"6,900  €"
"Honda Civic Tourer ar 1.6i-Dtec dzinēju un 6-pakāpju manuālo ātrumkārbu. 
A",https://www.ss.com/msg/en/transport/cars/honda/civic/ecoid.html,Civic,2016,1.6D,245 thd.,"6,900  €"
"Auto teicamā stāvoklī. Viens īpašnieks, visa vēsture . Noskrējiens 273tkm, 1",https://www.ss.com/msg/en/transport/cars/honda/hr-v/bfmiee.html,Hr-v,2016,1.6D,-,"6,450  €"
"Honda e:Ny1 / 2023.G. 

Bezizmešu braukšanas darbības attālums tikai ar el",https://www.ss.com/msg/en/transport/cars/honda/another/mdbjf.html,Another,2023,E,22 thd.,"29,000  €"
"Tikko no Vācijas. 
Benzīnmotors. 
“Executive” pilnā komplektācija. 4Wd pil",https://www.ss.com/msg/en/transport/cars/honda/cr-v/hfdbc.html,Cr-v,2009,2.0,202 thd.,"6,850  €"
Tikko no Vacijas. Viens saimnieks Vacijā. Honda Cr-V 2.2 I-Cdti 103 KW. Piln,https://www.ss.com/msg/en/transport/cars/honda/cr-v/ghgjg.html,Cr-v,2007,2.2D,226 thd.,"5,990  €"
"Lielisks auto saimmnieciskiem cilvēkiem, piemērots apgrūtinātiem ceļa apstāk",https://www.ss.com/msg/en/transport/cars/honda/cr-v/gnolp.html,Cr-v,2006,2.0,476 thd.,"1,950  €"
Pārdodas Honda Crv 2005.g 2.2d TA līdz 26.11.26 Labā tehniskā kārtībā. Sīkāk,https://www.ss.com/msg/en/transport/cars/honda/cr-v/dkogx.html,Cr-v,2005,2.2D,370 thd.,"2,200 €"
"Honda Civic 5D pērles baltā krāsā, labā tehniskā un vizuālā stāvoklī. Oriģin",https://www.ss.com/msg/en/transport/cars/honda/civic/hxxgh.html,Civic,2015,1.8,94 thd.,"11,500 €"
Honda Civic 5D labā tehniskā un vizuālā stāvoklī. Oriģināls nobraukums 94932,https://www.ss.com/msg/en/transport/cars/honda/civic/bdlgf.html,Civic,2014,1.8,95 thd.,"9,500 €"
"Honda Cr-V 2008 2.0 Benzīns Automāts 4x4
Pārdodu koptu un uzticamu Honda Cr",https://www.ss.com/msg/en/transport/cars/honda/cr-v/gcopk.html,Cr-v,2008,2.0,179 thd.,"4,500 €"
Tikko izieta tehniskā apskate un ir derīga uz gadu. Honda Civic 2007. gada i,https://www.ss.com/msg/en/transport/cars/honda/civic/cdbhh.html,Civic,2007,1.8,306 thd.,"1,990 €"
"Īpašniece pārdod Honda Cr-V
2.2 Dīzelis automāts. 
Komfortabls, ekonomisks",https://www.ss.com/msg/en/transport/cars/honda/cr-v/cxojl.html,Cr-v,2011,2.2D,340 thd.,"5,500 €"
Pārdod 2013. gada Honda Cr-v labā tehniskā un vizuālā stāvoklī. Automāts 2.2,https://www.ss.com/msg/en/transport/cars/honda/cr-v/dmndx.html,Cr-v,2013,2.2D,230 thd.,"9,900 €"
"Pārdodu Honda Civic Hybrid 1.3, 2008. gada, sudraba krāsā, sedans, ar automā",https://www.ss.com/msg/en/transport/cars/honda/civic/njpxc.html,Civic,2008,1.3,253 thd.,"2,950  €"
Sveiki pārdodam savu ģimenes Hondu. Izieta jauna tehniskā apskate. Brauc lab,https://www.ss.com/msg/en/transport/cars/honda/cr-v/gbdjh.html,Cr-v,2006,2.0,243 thd.,"1,850 €"
"Teicama stavokli gan tehniski gan vizuali. 
Dzinējs, Ātrumkārba Darbojās Te",https://www.ss.com/msg/en/transport/cars/honda/cr-v/cclicp.html,Cr-v,2014,1.6D,-,"6,990  €"
"Honda Hr-V 1.5 benzīns, automāts, 2018. Face-lift modelis. 
Auto labā tehni",https://www.ss.com/msg/en/transport/cars/honda/hr-v/behec.html,Hr-v,2018,1.5,182 thd.,"12,400  €"
"Pārdodu Honda Accord ar uzticamo 2.0 benzīna dzinēju, manuālo kārbu un priek",https://www.ss.com/msg/en/transport/cars/honda/accord/ffcjd.html,Accord,2010,2.0,280 thd.,"1,850  €"
"Honda Cr-V, 2.2 dīzelis, 2008.g. , 103kW

6 Pakāpju manuālā pārnesumkārba,",https://www.ss.com/msg/en/transport/cars/honda/cr-v/cdfnln.html,Cr-v,2008,2.2D,-,"3,490  €"
"2.2 Tdi 4x4, Labā tehniskā stāvoklī, izieta tehniskā apskate, 
automātiskā ā",https://www.ss.com/msg/en/transport/cars/honda/cr-v/ddjfi.html,Cr-v,2014,2.2D,-,"8,500  €"
Honda CR V dīzelis ar mehānisko ātrumkārbu un patiesu nobraukumu. Servisa vē,https://www.ss.com/msg/en/transport/cars/honda/cr-v/cdiold.html,Cr-v,2013,2.2D,188 thd.,"14,500  €"
"1.6 i-dtec 88kw. 6atrumi Automašīna tikko ievesta, labā tehniskā un vizuālā",https://www.ss.com/msg/en/transport/cars/honda/civic/fcgod.html,Civic,2016,1.6D,229 thd.,"8,250  €"
"C-rv 2.0i 110kw 4x4 ar automātiko kārbu, tehniski un vizuāli teicamā stāvokl",https://www.ss.com/msg/en/transport/cars/honda/cr-v/aijoi.html,Cr-v,2008,2.0,184 thd.,"6,450  €"
"Tirgojās ekanomiska Hondiņa, tehniski ideālā kondīcijā. 
Vizuāli ir vietām",https://www.ss.com/msg/en/transport/cars/honda/civic/epxxp.html,Civic,2007,1.8,247 thd.,"1,400  €"
"Продается Honda Accord Tourer 2007 года
Двигатель: 2.2 дизель, 103 кВт
Кор",https://www.ss.com/msg/en/transport/cars/honda/accord/dchio.html,Accord,2007,2.2D,438 thd.,"1,750  €"
"Продаю автомобиль. Хорошее семейное авто. Стоит новый аккумулятор, много дет",https://www.ss.com/msg/en/transport/cars/honda/cr-v/bjdmjm.html,Cr-v,2005,2.0,312 thd.,"1,700 €"
Sakarā ar jauna auto iegādi tiek pārdota mana foršā hondiņa. Mašīna ir atbil,https://www.ss.com/msg/en/transport/cars/honda/cr-v/fcffh.html,Cr-v,2017,1.6D,231 thd.,"12,500  €"
"Pārdod Honda Cr-V , 4x4 , Комплектация - Exclusive, литые диски R18, 
2.2 D",https://www.ss.com/msg/en/transport/cars/honda/cr-v/cdoobc.html,Cr-v,2007,2.2D,219 thd.,"5,300  €"
"Honda Cr-V Hybrid Lifestyle 2Wd / 2022.G. 
 
Ādas Salons
Led Lukturi
Led",https://www.ss.com/msg/en/transport/cars/honda/cr-v/cfggnb.html,Cr-v,2022,2.0H,83 thd.,"24,900  €"
"Продается Honda Accord disel, авто из Ирландии, приехало своим ходом, хороше",https://www.ss.com/msg/en/transport/cars/honda/accord/hcdfo.html,Accord,2011,2.2D,200 thd.,"1,500 €"
"Pārodu Honda Hr-V , benzīns un automātiskā ātrumkārba. 
Auto teicami uzturē",https://www.ss.com/msg/en/transport/cars/honda/hr-v/jjcnj.html,Hr-v,2017,1.5,76 thd.,"15,200  €"
"Honda Accord Tourer, ekonomisks 2.2 dīzelis, automātiskā ātrumkārba, 2 atslē",https://www.ss.com/msg/en/transport/cars/honda/accord/gcnxx.html,Accord,2012,2.2D,334 thd.,"2,700  €"
"Pārdodu Honda Accord 2.2 2004
Mašīna ir labā stāvoklī, nesen ir izdzīta ska",https://www.ss.com/msg/en/transport/cars/honda/accord/edemb.html,Accord,2004,2.2D,370 thd.,"1,800 €"
"Tikko no Vācijas Cr-V, 
2.2 turbodīzelis, jauda 150 zs. 
4wd pilnpiedziņa.",https://www.ss.com/msg/en/transport/cars/honda/cr-v/bkoggm.html,Cr-v,2011,2.2D,206 thd.,"7,800  €"
Dzinējs darbojas vienmērīgi un netērē eļļu. Ātrumkārba pārslēdzas maīgi. Sal,https://www.ss.com/msg/en/transport/cars/honda/cr-v/dkxjk.html,Cr-v,2007,2.0,197 thd.,"4,900  €"
"Pārdod Honda Crv - 2.2 D 103kw 140zs, 4x4 , 

Automašīna ar oriģinālu, pār",https://www.ss.com/msg/en/transport/cars/honda/cr-v/cemldn.html,Cr-v,2009,2.2D,285 thd.,"3,590  €"
"Motora defekts. 
Pardodas tikai ar parrakstišanu.",https://www.ss.com/msg/en/transport/cars/honda/fr-v/blxmif.html,FR-V,2005,2.2D,290 thd.,550  €
"Honda Cr-V 1.6Td Elegance Plus no Vācijas. 

Latvijā nav ekspluatēta. 
Be",https://www.ss.com/msg/en/transport/cars/honda/cr-v/hceib.html,Cr-v,2017,1.6D,223 thd.,"11,950  €"
"Продаю хороший, надёжный и экономичный бензиновый автомобиль. Кузов не ржавы",https://www.ss.com/msg/en/transport/cars/honda/civic/nhfhl.html,Civic,2006,1.3,231 thd.,"1,450  €"
Автомобиль куплен новым в Латвии. Всё время находился в пользовании одной се,https://www.ss.com/msg/en/transport/cars/honda/civic/nhgeg.html,Civic,2007,1.8,95 thd.,"3,000 €"
Autoservis pārdod pašu pieskatītu hondu ar Uzlabojumiem. Ta uz gadu 05.27 no,https://www.ss.com/msg/en/transport/cars/honda/civic/gjicn.html,Civic,2015,1.4,178 thd.,"6,500  €"
"Civic Tourer, Automāts, 1.8 benzīns 104kw, Facelift modelis. Aprīkojumā ieti",https://www.ss.com/msg/en/transport/cars/honda/civic/cbexi.html,Civic,2015,1.8,170 thd.,"9,500  €"
"Продаю машину в хорошем состоянии, всё ремонтировалось в срок для себя. Есть",https://www.ss.com/msg/en/transport/cars/honda/civic/hxkjo.html,Civic,2008,1.8,195 thd.,"1,900 €"
"Honda Civic 1.8 бензīns, 2006. gads

Pārdodu Honda Civic ar 1.8 benzīna dz",https://www.ss.com/msg/en/transport/cars/honda/civic/fgohd.html,Civic,2006,1.8,188 thd.,"3,550  €"
"Продаётся Honda Civic 5D 2.2 I-Ctdi, дизель. 

Первая регистрация: 04.04.2",https://www.ss.com/msg/en/transport/cars/honda/civic/fbjjp.html,Civic,2006,2.2D,275 thd.,"1,100 €"
"Honda Hr-V Executive 1.6 Dtec-120 z/s. Manuālā ātrumkārba 6-ātrumi. 
Led-Bi",https://www.ss.com/msg/en/transport/cars/honda/hr-v/behcg.html,Hr-v,2015,1.6D,203 thd.,"8,200  €"
Pārdod Honda crv 4x4 labā tehniskā un vizuālā stāvoklī. Oriģināls un pārbaud,https://www.ss.com/msg/en/transport/cars/honda/cr-v/fnbki.html,Cr-v,2007,2.0,233 thd.,"4,545 €"
"Pārdodu hondu civic, gana labā tehniskā un vizuālā stāvoklī. Ir šādi tādi de",https://www.ss.com/msg/en/transport/cars/honda/civic/dxhni.html,Civic,2009,2.2D,-,"2,900 €"
"Pārdodu savu auto laba tehniskā stāvoklī. Regulāri kopts, tikko nomainīti br",https://www.ss.com/msg/en/transport/cars/honda/cr-v/hobke.html,Cr-v,2007,2.0,289 thd.,"6,100 €"
"Pārdodu Honda Crv, 4x4, benzīns/gāze (ekonomiska), automātiskā ātrumkārba. I",https://www.ss.com/msg/en/transport/cars/honda/cr-v/gcjbk.html,Cr-v,2007,2.0,378 thd.,"3,600  €"
"Honda Cr-V Jauna TA

Dzinēja tilpums: 2.0 
Jauda: 103 кw / 140 zs
Degvie",https://www.ss.com/msg/en/transport/cars/honda/cr-v/foinc.html,Cr-v,2007,2.0,167 thd.,"5,000  €"
"Honda Civic 1.8 I-Vtec 104 kW Automāts 2012 Hečbeks

Pārdodam uzticamu, ek",https://www.ss.com/msg/en/transport/cars/honda/civic/niijf.html,Civic,2012,1.8,214 thd.,"6,100 €"
"Pārdodu Honda Accord Tourer universālis 2010.gada, labi kopta un uzticama mā",https://www.ss.com/msg/en/transport/cars/honda/accord/dmxgd.html,Accord,2010,2.2D,274 thd.,"3,020 €"
"Honda Civik Pilna komplektācijā, labā stāvoklī. TO līdz 02.12.2026

-Ādas",https://www.ss.com/msg/en/transport/cars/honda/civic/ddpij.html,Civic,2012,2.2D,305 thd.,"4,600  €"
"Honda Cr-V 2.2 Dtec 4Wd Automatik Executive 110 kW (150 Zs)
Только из Герма",https://www.ss.com/msg/en/transport/cars/honda/cr-v/bnixe.html,Cr-v,2011,2.2D,-,"7,550  €"
Pārdodu Honda Accord ar pieredzi Latvijā. Auto vizuālais stavoklis gluži nav,https://www.ss.com/msg/en/transport/cars/honda/accord/ehlkb.html,Accord,2006,2.0,331 thd.,"1,450  €"
Jauna TA 06.07.2027 Automāts. 1.4 Hibrīds. Nodoklis nomaksāts. No 2019 gada,https://www.ss.com/msg/en/transport/cars/honda/civic/aopxb.html,Civic,2008,1.4H,371 thd.,"2,790  €"
"Из Дании тех. осмотр без замечаний зимой поставлена новая резина, тормоза ди",https://www.ss.com/msg/en/transport/cars/honda/civic/edbmp.html,Civic,2016,1.6D,183 thd.,"5,900  €"
"Honda Cr-V 4x4, 2.0i Benzīna dzinējs 114kw/152zs, Pilnpiedziņa, Automātiskā",https://www.ss.com/msg/en/transport/cars/honda/cr-v/eeclx.html,Cr-v,2017,2.0,83 thd.,"18,490  €"
"Pārdodu 2016.gada Honda Hr-V 1.6 I-Dtec Executive versijā: ļoti ekonomisks,",https://www.ss.com/msg/en/transport/cars/honda/hr-v/jijeo.html,Hr-v,2016,1.6D,223 thd.,"8,700  €"
